n,k,risk,CG23,U
2.180000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.989614706461597216e-02,7.770811534823952871e-02
2.190000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.971714619053907241e-02,7.770811534823952871e-02
2.200000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.953974421075667767e-02,7.770811534823952871e-02
2.210000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.936391980000777252e-02,7.770811534823952871e-02
2.220000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.918965201054667308e-02,7.770811534823952871e-02
2.230000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.901692026382710954e-02,7.770811534823952871e-02
2.240000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.884570434240477294e-02,7.770811534823952871e-02
2.250000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.867598438205228223e-02,7.770811534823952871e-02
2.260000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.850774086407975083e-02,7.770811534823952871e-02
2.270000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.834095460785483939e-02,7.770811534823952871e-02
2.280000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.817560676351628574e-02,7.770811534823952871e-02
2.290000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.801167880487495154e-02,7.770811534823952871e-02
2.300000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.784915252249705653e-02,7.770811534823952871e-02
2.310000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,3.768801001696386876e-02,7.770811534823952871e-02
