N,k,beta,CG23,finite_horizon,anytime,summable_CG23,per_time,any_union
800,2,4.7327787276263145,8.80901944730806,17.40864662727143,19.908592967547857,21.78604606012745,26.31808999777943,1.1436037156593293
800,5,9.124067173018044,13.99939255453001,23.65510094635568,27.988282856347684,28.432039799445025,35.081950447302816,1.1831817128922282
800,23,31.229492057094717,39.40301074961955,52.62551925809199,64.93590944087536,58.83106658111388,71.08506791360158,1.2339243461410683
800,100,115.64972156325739,131.04340182158663,150.509202633758,172.87967968434467,159.2941966696518,180.61827170696102,1.1486319551172026
8000,2,4.742754638894467,8.847090698641454,20.30093863391985,20.14909327898888,25.345514934297064,31.627653048302445,0.9925202791028954
8000,5,9.150571036654538,14.07507678897742,26.923671113331885,30.12794931613869,32.41170982355499,40.98432529578191,1.1190134209156986
8000,23,31.396320359244072,39.770845479597305,57.57784057449251,66.962959333457,64.75441930517356,79.69920811711025,1.1629987971991114
8000,100,116.86523833063403,133.48803972720782,161.61557586578203,183.92201527898104,172.49334760349458,199.73819074790163,1.1380215941050382
8000,1000,1048.944836233498,1102.666395452551,1167.9037672919253,1243.067379102202,1192.5426787931654,1267.7581559600226,1.0643577098689923
100000,2,4.743775717386053,8.850994747924341,23.252499807046224,21.38364321847749,28.77770414791248,37.04591214603907,0.9196277129737933
100000,5,9.153283164463465,14.082836662899028,30.15641140716048,29.7774660272702,36.1252679750824,46.77065763292513,0.9874340028468938
100000,23,31.413331354154167,39.8084379920011,61.91144397010693,68.630412782184,69.60693942856837,86.93452342969924,1.1085254741485473
100000,100,116.98660450180417,133.73263890580145,168.66633880450263,187.02613721762447,180.25754117762645,210.72242000060803,1.1088527713547058
100000,1000,1052.2944994847182,1109.3867677415665,1196.0963289687866,1267.444031339715,1224.0434572695156,1311.5554471327273,1.0596504651363998
