replicate,terminal_k,terminal_risk,CG23,Anytime,Finite horizon,Summable CG23
0,2,0.0038385490367429617,0,0,0,0
1,2,0.002656683464497188,0,0,0,0
2,1,0.001085182688702325,0,0,0,0
3,1,2.668925442214175e-05,0,0,0,0
4,2,0.00507547698748665,0,0,0,0
5,2,0.0002283928966274746,0,0,0,0
6,2,0.0020728504378279304,0,0,0,0
7,2,0.0010299552767690278,0,0,0,0
8,2,0.0007051035840789132,0,0,0,0
9,2,0.001255474868250261,0,0,0,0
10,2,0.004889743003486309,0,0,0,0
11,2,0.0016140865493294077,0,0,0,0
12,2,0.0018796337773735574,0,0,0,0
13,2,0.0019144751488402716,0,0,0,0
14,1,0.0017444503241014144,20,37,0,0
15,2,0.0031669732291498727,0,0,0,0
16,2,0.0013245772553567767,0,0,0,0
17,2,0.0017316014777948422,0,0,0,0
18,2,0.0025603135382627437,74,0,0,0
19,2,0.0002266847881363558,0,0,0,0
20,2,0.0012665530595908584,0,0,0,0
21,2,0.0019744001261795905,0,0,0,0
22,2,0.0014644122743472775,0,0,0,0
23,2,0.0017987845698092394,0,0,0,0
24,2,0.005391600742088587,0,0,0,0
25,2,0.0022575047605730035,0,0,0,0
26,1,0.0025979786343336797,0,0,0,0
27,2,0.0023230250831096895,0,0,0,0
28,2,0.0014649273784073946,0,0,0,0
29,2,0.0007548032277540221,0,0,0,0
30,2,0.002014639185217452,0,0,0,0
31,2,0.001067258251814486,0,0,0,0
32,2,0.0017429307828788084,0,0,0,0
33,2,0.001803823298666124,0,0,0,0
34,2,0.0024051117123922694,0,0,0,0
35,2,0.0059294061813098395,0,0,0,0
36,2,0.003470674429293894,7,0,0,0
37,2,0.004854186218818474,0,0,0,0
38,2,0.0035353380809585067,0,0,0,0
39,2,0.0028106291950367175,0,0,0,0
40,2,0.0005061455004299614,0,0,0,0
41,2,0.0021388904127412002,0,0,0,0
42,2,0.0006298933690898642,0,0,0,0
43,1,0.00047483538204359566,0,0,0,0
44,1,0.003591095583832646,0,0,0,0
45,2,0.002655812148464383,0,0,0,0
46,2,0.0031521290337067115,0,0,0,0
47,2,0.0030177297520985326,0,0,0,0
48,2,0.00299142543858526,0,0,0,0
49,2,0.0002398829737446134,0,0,0,0
50,2,0.001353362953033414,0,0,0,0
51,2,0.0018022270017123306,0,0,0,0
52,2,0.0015146443861290607,0,0,0,0
53,2,0.0009069805697404654,171,0,0,0
54,2,0.0045011355611620785,0,0,0,0
55,2,0.0008809869561499124,0,0,0,0
56,2,0.005361081888310872,0,0,0,0
57,2,0.002206208950497828,0,0,0,0
58,2,0.0015651898866381297,0,0,0,0
59,2,0.004830678324834495,0,0,0,0
60,2,0.003111931331891477,0,0,0,0
61,2,0.001956976610618779,0,0,0,0
62,2,0.0015054337043256983,0,0,0,0
63,2,0.00400671734742694,0,0,0,0
64,2,0.00131806748500588,0,0,0,0
65,2,0.002302079392196242,0,0,0,0
66,2,0.0006358670607491269,0,0,0,0
67,2,0.00195420633620779,0,0,0,0
68,1,0.001467564598973952,0,0,0,0
69,2,0.0030773003215694987,0,0,0,0
70,2,0.0010080681443836246,0,0,0,0
71,2,0.001527491414701246,0,0,0,0
72,2,0.009151209264896104,0,0,0,0
73,2,0.0032907357361194123,0,0,0,0
74,2,0.0023817328186787187,0,0,0,0
75,1,0.0018564122149537046,0,0,0,0
76,2,0.0025026783696935396,0,0,0,0
77,2,0.0038101532306454265,0,0,0,0
78,2,0.0003737291467055582,0,0,0,0
79,2,0.004749843245387602,0,0,0,0
80,1,0.002040680753578561,0,0,0,0
81,2,0.001297930098694056,0,0,0,0
82,1,0.0009358125957314392,0,0,0,0
83,1,0.00015244930330271937,0,0,0,0
84,2,0.0020228942248288052,0,0,0,0
85,2,0.005425062648194248,0,0,0,0
86,2,0.0010381980256928397,0,0,0,0
87,2,0.001864475215907668,0,0,0,0
88,2,0.0055663499752730515,0,0,0,0
89,2,0.0003034659521856884,0,0,0,0
90,2,0.0025660372091181106,0,0,0,0
91,2,0.001489241980058503,0,0,0,0
92,2,0.0012614515138382398,0,0,0,0
93,2,0.0011455401292412655,0,0,0,0
94,2,0.001076755488683931,0,0,0,0
95,2,0.0026453937834306847,0,0,0,0
96,2,0.0014992203256275981,0,0,0,0
97,2,0.004093279521980764,0,0,0,0
98,2,0.005971679095387959,0,0,0,0
99,1,0.003848712759066382,0,0,0,0
100,2,0.0015533525614340622,0,0,0,0
101,2,0.003991471803048184,0,0,0,0
102,1,0.0003240124669394677,0,0,0,0
103,2,0.005336550107984387,0,0,0,0
104,2,0.003726022605902964,0,0,0,0
105,2,0.0013752906739467005,0,0,0,0
106,2,0.004420800802316563,0,0,0,0
107,1,0.00016818063734835127,0,0,0,0
108,1,0.00023605612275638059,0,0,0,0
109,2,0.0014955125186380208,21,0,0,0
110,2,0.003877435757146937,0,0,0,0
111,2,0.0029895134120839703,0,0,0,0
112,2,0.0012583051360927184,0,0,0,0
113,1,0.0007508957170240836,0,0,0,0
114,2,0.004300166560327503,0,0,0,0
115,2,0.0039700584164994186,0,0,0,0
116,2,0.0009876578050413121,0,0,0,0
117,2,0.007296031104625458,70,0,0,0
118,2,0.002206884336849721,0,0,0,0
119,2,0.004314010002735795,0,0,0,0
120,2,0.0016999235781982272,0,0,0,0
121,2,0.001383028910296291,0,0,0,0
122,2,0.0008483539225134708,0,0,0,0
123,2,0.0012025825304524491,0,0,0,0
124,2,0.002329854784105622,0,0,0,0
125,2,0.0014575676441085372,0,0,0,0
126,1,0.0012993573857404221,0,0,0,0
127,2,0.003768430477178825,0,0,0,0
128,2,0.001393598861750827,0,0,0,0
129,2,0.0012388633315771668,0,0,0,0
130,2,0.0016661972142542653,0,0,0,0
131,2,0.003608551584968882,0,0,0,0
132,2,0.002669293465955422,0,0,0,0
133,2,0.004635710290249986,31,0,0,0
