replicate,method,n,k,risk,nominal_cost,anytime_U
0,Anytime,362,2,0.01981810415046618,1.5520740238031507,0.04470779190771206
0,Per_time,466,2,0.01454861845757116,1.4973638243833394,0.03895234603569855
0,GCC_T1,190,2,0.01981810415046618,1.5520740238031507,0.08884340963149352
0,GCC_T4,162,2,0.01981810415046618,1.5520740238031507,0.10186276543651669
0,Fixed_N,93,2,0.04634579775746389,1.8244928776194789,0.174982676092472
0,Posthoc,543,2,0.006548717507211968,1.4007697693180907,0.033967598945458415
1,Anytime,362,2,0.0074089034904984315,1.9201165009436427,0.04470779190771206
1,Per_time,466,2,0.0074089034904984315,1.9201165009436427,0.03895234603569855
1,GCC_T1,190,2,0.010850911826412667,1.7880788540308594,0.08884340963149352
1,GCC_T4,162,2,0.010850911826412667,1.7880788540308594,0.10186276543651669
1,Fixed_N,93,2,0.010850911826412667,1.7880788540308594,0.174982676092472
1,Posthoc,782,1,0.0003031012731226955,1.4912276312393176,0.018253862424280547
2,Anytime,362,2,0.0065676415409698565,1.6350894189932204,0.04470779190771206
2,Per_time,466,2,0.0065676415409698565,1.6350894189932204,0.03895234603569855
2,GCC_T1,190,2,0.0065676415409698565,1.6350894189932204,0.08884340963149352
2,GCC_T4,162,2,0.0065676415409698565,1.6350894189932204,0.10186276543651669
2,Fixed_N,93,2,0.0065676415409698565,1.6350894189932204,0.174982676092472
2,Posthoc,590,1,0.0017337478411722357,1.6058805847042597,0.025300286930544896
3,Anytime,362,2,0.0027851382375220046,1.441349136739876,0.04470779190771206
3,Per_time,466,2,0.0027851382375220046,1.441349136739876,0.03895234603569855
3,GCC_T1,190,2,0.006588571746533725,1.5490933815067063,0.08884340963149352
3,GCC_T4,162,2,0.006588571746533725,1.5490933815067063,0.10186276543651669
3,Fixed_N,93,2,0.018321469648202787,1.8308145529109652,0.174982676092472
3,Posthoc,362,2,0.0027851382375220046,1.441349136739876,0.04470779190771206
4,Anytime,271,1,0.005784473105624351,1.4916292736936672,0.04878717610342121
4,Per_time,402,1,0.005784473105624351,1.4916292736936672,0.035075444436606075
4,GCC_T1,190,2,0.015724010584541974,1.3684623658942878,0.08884340963149352
4,GCC_T4,162,2,0.015724010584541974,1.3684623658942878,0.10186276543651669
4,Fixed_N,93,1,0.022196615046631545,1.2984462473900962,0.15392988417795642
4,Posthoc,580,2,0.00807099452402756,1.4014461006292462,0.02959763815910193
5,Anytime,271,1,0.0037715609198263685,1.679152442400714,0.04878717610342121
5,Per_time,466,2,0.0030389480380990843,1.4737157733340316,0.03895234603569855
5,GCC_T1,190,2,0.010989812479009294,1.667407542779091,0.08884340963149352
5,GCC_T4,162,2,0.010989812479009294,1.667407542779091,0.10186276543651669
5,Fixed_N,93,2,0.022351598231223197,1.4663278557377382,0.174982676092472
5,Posthoc,362,2,0.00360153863307468,1.458099551909006,0.04470779190771206
6,Anytime,362,2,0.0023872397554706945,1.6640960398661544,0.04470779190771206
6,Per_time,466,2,0.0023872397554706945,1.6640960398661544,0.03895234603569855
6,GCC_T1,190,2,0.0028804337963223214,1.5525979611628327,0.08884340963149352
6,GCC_T4,162,2,0.0028804337963223214,1.5525979611628327,0.10186276543651669
6,Fixed_N,93,2,0.012588471611813236,1.3210804699031429,0.174982676092472
6,Posthoc,362,2,0.0023872397554706945,1.6640960398661544,0.04470779190771206
7,Anytime,362,2,0.002481742878317633,1.5214596730246075,0.04470779190771206
7,Per_time,466,2,0.002481742878317633,1.5214596730246075,0.03895234603569855
7,GCC_T1,190,2,0.007217413497118489,1.6870043178414238,0.08884340963149352
7,GCC_T4,162,2,0.007217413497118489,1.6870043178414238,0.10186276543651669
7,Fixed_N,93,2,0.009184039551065176,1.7405060564591794,0.174982676092472
7,Posthoc,362,2,0.002481742878317633,1.5214596730246075,0.04470779190771206
8,Anytime,362,2,0.004773251732157661,1.4856501920467575,0.04470779190771206
8,Per_time,466,2,0.004773251732157661,1.4856501920467575,0.03895234603569855
8,GCC_T1,190,2,0.0111758497529707,1.5797462383646117,0.08884340963149352
8,GCC_T4,162,2,0.0111758497529707,1.5797462383646117,0.10186276543651669
8,Fixed_N,93,2,0.0111758497529707,1.5797462383646117,0.174982676092472
8,Posthoc,563,2,0.002468446482111012,1.4259167244057722,0.02959763815910193
