n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box,finite_hull,finite_box
1.0,1.0,1.0,1.0,1.0,1.0,0.9163331227302904,1.0,1.0,1.0
2.0,2.0,0.8347334439752884,1.0,1.0,2.0,0.6529364331651508,1.0,1.0,1.0
3.0,3.0,0.7113215097331648,1.0,1.0,3.0,0.5118395376903305,1.0,1.0,1.0
4.0,4.0,0.6486964883235233,1.0,1.0,3.0,0.4563585153858809,0.999614507776176,1.0,0.999999609374971
5.0,4.0,0.6486964883235233,0.9999641190279578,0.9999940867942216,3.0,0.4563585153858809,0.9912225126567537,0.9999997499998984,0.9996461965210185
6.0,5.0,0.48380423501992753,0.9999798712388936,0.99999762361522,3.0,0.3003296969023206,0.9712615714474424,0.9999998263888893,0.9962467263583834
7.0,5.0,0.48380423501992753,0.9983074874959502,0.9992937189249459,3.0,0.3003296969023206,0.9446913383666932,0.9997936758847914,0.9871981106617429
8.0,6.0,0.4085888337844422,0.9987589371523171,0.9995412569850936,3.0,0.2550804265907345,0.9154060076308604,0.999832864039007,0.9725468680008518
9.0,7.0,0.38136390853401697,0.9990513991814554,0.999685331869188,4.0,0.22745162959878493,0.9287529314216352,0.9998610339291458,0.9771819841014251
10.0,7.0,0.38136390853401697,0.994507176183486,0.9971130632782307,4.0,0.22745162959878493,0.9287529314216352,0.9982585215834848,0.9607878657392619
11.0,8.0,0.34999308203530727,0.995457705788614,0.9977476309019021,4.0,0.20276291859125167,0.8725943286024753,0.9984830230162658,0.9415647938198949
12.0,8.0,0.34999308203530727,0.9878927652710464,0.9924784893269987,4.0,0.20276291859125167,0.8474955355172302,0.9942299720027142,0.9205232811696066
13.0,8.0,0.34999308203530727,0.9772402921369427,0.9839990949247258,4.0,0.20276291859125167,0.8474955355172302,0.9866658478025823,0.8984488505119882
14.0,9.0,0.33991617273619745,0.9800808976093411,0.9863670270197581,4.0,0.2010215418700977,0.796497696934371,0.9879727139214816,0.8759206884786064
15.0,9.0,0.33991617273619745,0.9800808976093411,0.9766018743379646,4.0,0.2010215418700977,0.796497696934371,0.9783267417238486,0.8533527578545493
16.0,9.0,0.33991617273619745,0.9541523122469537,0.9650973705622784,4.0,0.2010215418700977,0.7464670045367258,0.9664303438082152,0.8310339081974912
17.0,10.0,0.32833659839866136,0.9587121291117674,0.9690551888597008,4.0,0.2010215418700977,0.7464670045367258,0.9691343058443168,0.8091607584795246
18.0,10.0,0.31754593278776433,0.9459269450688624,0.9574366652960639,4.0,0.2010215418700977,0.7026227221545459,0.9564451909050566,0.7878629060835461
19.0,10.0,0.31754593278776433,0.9326262499546732,0.9450344966215432,4.0,0.2010215418700977,0.7026227221545459,0.9425404858367012,0.7672216731680643
20.0,10.0,0.31754593278776433,0.9326262499546732,0.9321542090038372,4.0,0.2010215418700977,0.6638820580808443,0.927783975387436,0.747283845385819
21.0,11.0,0.31615016361364345,0.9382367702051732,0.938106552016621,4.0,0.19992671587380065,0.6638820580808443,0.9325440411964302,0.7280716713416086
22.0,10.0,0.2774763646367257,0.8886675529728206,0.9054996344715908,4.0,0.1584401070267396,0.6638820580808443,0.8968225192283329,0.7095901181558407
23.0,11.0,0.27705985674065103,0.8968113313493654,0.9130305428902321,4.0,0.1584401070267396,0.6096676098537483,0.9031325928107042,0.6918321293502068
24.0,12.0,0.2754120307469817,0.9038984232216905,0.9195586065374179,4.0,0.1584401070267396,0.6096676098537483,0.9087290756735126,0.6747824325114185
25.0,12.0,0.27167299707029924,0.8906497051640608,0.9066598623106665,4.0,0.1584401070267396,0.6096676098537483,0.894307332087554,0.6584202943600188
26.0,13.0,0.26930919241871143,0.8974943687074913,0.9130115369935725,4.0,0.1584401070267396,0.5642978085039846,0.8999103605854556,0.6427215109081018
27.0,11.0,0.24642057865139544,0.8545543797609555,0.8596204699928237,4.0,0.14637031985942417,0.5642978085039846,0.8428690611396625,0.627659840748668
28.0,11.0,0.24642057865139544,0.8263246206652343,0.8468635077947173,4.0,0.14637031985942417,0.5642978085039846,0.8280966732590505,0.6132080321462398
29.0,11.0,0.24642057865139544,0.8263246206652343,0.8336451601877543,4.0,0.14637031985942417,0.5245183936919632,0.8135582812154142,0.5993385533231245
30.0,11.0,0.24642057865139544,0.7992918410809136,0.8207512846793265,4.0,0.14637031985942417,0.5245183936919632,0.7992875388725482,0.5860241056098359
