n,k,risk,U,CG23,gain1,gain2
3.000000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.909603129125163723e-01,2.044314646418464998e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.328122505018059063e-01,1.985294441519345476e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.328122505018059063e-01,1.929575145994360252e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.328122505018059063e-01,1.876888349727855176e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.328122505018059063e-01,1.826993865448181265e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.328122505018059063e-01,1.779676129313678967e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,3.328122505018059063e-01,1.734741136243781734e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,2.894013233287145437e-01,1.692013819993042623e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,2.894013233287145437e-01,1.651335804780074967e-01,2.091960954705903153e-01,7.036393983301886257e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.733261403786304156e-03,2.894013233287145437e-01,1.612563468666594890e-01,2.091960954705903153e-01,7.036393983301886257e-02
4.000000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.894013233287145437e-01,1.575566269585767787e-01,1.838531109499405292e-01,1.013203147745789928e-01
