n,k,min_slack,reconstruction_error,KKT_residual,min_singular_value,min_multiplier
1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,0.000000000000000000e+00,2.166718138241208180e-08,1.636699782445866225e-02,1.619937871932594646e+02
5.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,1.613330391503353667e-08,1.664602411466375997e-08,1.600167551200901844e-02,1.761106703889752509e+02
9.000000000000000000e+00,2.000000000000000000e+00,-2.220446049250313081e-16,2.990130454350037326e-08,3.803259041035289556e-09,9.095164049657651021e-04,1.458994771811049196e+00
1.800000000000000000e+01,1.000000000000000000e+00,-3.996802888650563546e-15,3.159791307771886437e-08,1.539542146544725654e-08,1.603277392555232245e-02,1.792920379751676876e+02
3.300000000000000000e+01,1.000000000000000000e+00,-2.109423746787797427e-15,2.757266948094638792e-08,1.166062315594018628e-07,1.596743531814569586e-02,1.806764796105353525e+02
3.900000000000000000e+01,1.000000000000000000e+00,-2.775557561562891351e-15,3.872603758503512239e-09,1.131638827089886945e-08,1.600220913389929084e-02,1.816317934705504342e+02
7.200000000000000000e+01,1.000000000000000000e+00,2.220446049250313081e-16,4.276463005936648187e-08,8.525974060091812134e-08,1.591954639318273260e-02,1.826927690241369078e+02
8.700000000000000000e+01,1.000000000000000000e+00,-1.110223024625156540e-16,4.028050096249735645e-08,1.221310230725691781e-08,1.597651527628454055e-02,1.834259479064155585e+02
1.570000000000000000e+02,1.000000000000000000e+00,-1.136868377216160297e-13,1.952454496342848067e-08,1.073884592361906698e-09,1.590094933235761815e-02,1.858156426760920112e+02
